attack_id,attack_name,category,subcategory,primary_language,secondary_languages,complexity_time,complexity_space,applicable_to,param_variation_1,param_variation_2,param_variation_3,success_criteria,reference_paper,implementation_priority
STAT-003,ChiSquareAttack,statistical,chi_square,Python,C++,O(n),O(256),all_ciphers,"bins=256,sig=0.05","bins=256,sig=0.01,multiple","bins=256,sig=0.001,detailed",chi_square_significance,"Pearson (1900)",high
STAT-004,EntropyAnalysisAttack,statistical,entropy,Python,,O(n),O(256),all_ciphers,"block_size=256","block_size=1024,sliding","block_size=4096,multi_scale",entropy_lt_7.9,"Shannon (1948)",high
STAT-005,PatternRecognitionAttack,statistical,patterns,Python,Rust,O(n^2),O(n),ecb_mode_weak_stream,"min_len=8,max_patterns=10","min_len=4,max_patterns=100","min_len=2,exhaustive",patterns_found,"Menezes et al. (1996)",medium
STAT-006,NgramAnalysisAttack,statistical,ngram,Python,,O(n*g),O(256^g),substitution_ciphers,"n=2,top_n=20","n=3,top_n=50","n=4,full_analysis",language_detected,"Cavnar & Trenkle (1994)",medium
STAT-007,KasiskiExaminationAttack,statistical,kasiski,Python,,O(n^2),O(n),polyalphabetic,"min_repeat=3,max_dist=1K","min_repeat=2,max_dist=5K","min_repeat=2,full_text",key_length_estimated,"Kasiski (1863)",medium
STAT-008,AutocorrelationAttack,statistical,autocorrelation,Python,C++,O(n*k),O(k),stream_repeating_key,"max_lag=256,threshold=0.1","max_lag=1024,threshold=0.05","max_lag=4096,full_correlation",peaks_indicate_period,"Box & Jenkins (1970)",medium
CRYPT-001,BasicLinearAttack,cryptanalysis,linear,C++,Python,O(2^(n/2)),O(2^16),block_ciphers,"samples=2^16,bias_threshold=0.01","samples=2^20,bias_threshold=0.001","samples=2^24,full_linear_hull",linear_bias_detected,"Matsui (1993)",high
CRYPT-002,MultipleLinearAttack,cryptanalysis,linear,C++,,O(2^(n/2)),O(2^16),block_ciphers,"num_approx=2,samples=2^16","num_approx=4,samples=2^20","num_approx=8,samples=2^24",combined_bias_gt_individual,"Biryukov et al. (2004)",medium
CRYPT-003,PartitioningAttack,cryptanalysis,linear,C++,,O(2^k),O(2^k),block_ciphers,"partitions=4,depth=2","partitions=16,depth=4","partitions=256,depth=8",non_uniform_partitions,"Harpes et al. (1995)",medium
CRYPT-004,LinearHullAttack,cryptanalysis,linear,C++,,O(2^n),O(hull_size),block_ciphers,"hull_size=10,samples=2^16","hull_size=100,samples=2^20","hull_size=1000,samples=2^24",hull_bias_gt_single,"Nyberg (1994)",high
CRYPT-005,ZeroCorrelationAttack,cryptanalysis,linear,C++,,O(2^n),O(2^16),aes_block_ciphers,"samples=2^16,threshold=1e-6","samples=2^20,threshold=1e-8","samples=2^24,exhaustive",zero_correlations_found,"Bogdanov & Rijmen (2011)",medium
CRYPT-006,MultidimensionalLinearAttack,cryptanalysis,linear,C++,,O(2^(n/2)*d),O(2^d),block_ciphers,"dimensions=2,samples=2^16","dimensions=4,samples=2^20","dimensions=8,samples=2^24",multidim_bias_detected,"Hermelin et al. (2008)",medium
CRYPT-007,FastCorrelationAttack,cryptanalysis,linear,C++,Rust,O(2^(n/2)),O(2^16),lfsr_stream_ciphers,"keystream_len=1K,corr=0.55","keystream_len=10K,corr=0.51","keystream_len=100K,corr=0.501",lfsr_state_recovered,"Meier & Staffelbach (1989)",high
CRYPT-008,LinearMaskingAttack,cryptanalysis,linear,C++,,O(2^n*m),O(2^16),masked_ciphers,"masking_order=1,samples=2^16","masking_order=2,samples=2^20","masking_order=3,samples=2^24",mask_bypassed,"Ishai et al. (2003)",low
CRYPT-009,BiasExploitationAttack,cryptanalysis,linear,Python,C++,O(1/bias^2),O(samples),all_ciphers,"min_bias=0.01,samples=2^16","min_bias=0.001,samples=2^20","min_bias=0.0001,samples=2^24",bias_gt_2^(-n/2),"General Statistical",medium
CRYPT-010,KeyRecoveryLinearAttack,cryptanalysis,linear,C++,,O(2^(n/2)),O(2^16),weak_block_ciphers,"target_bits=16,samples=2^16","target_bits=32,samples=2^20","target_bits=64,samples=2^24",key_bits_recovered,"Matsui (1994)",high
CRYPT-011,RoundReducedLinearAttack,cryptanalysis,linear,C++,Python,O(varies),O(2^16),block_ciphers,"rounds=4,samples=2^12","rounds=8,samples=2^16","rounds=12,samples=2^20",weakness_in_reduced_rounds,"Various",medium
CRYPT-012,LinearCryptanalysisDESAttack,cryptanalysis,linear,C++,,O(2^43),O(2^16),des_3des,"samples=2^16,simulated","samples=2^20,extended","samples=2^24,full_simulation",des_key_recovery_feasibility,"Matsui (1993)",high
CRYPT-013,BasicDifferentialAttack,cryptanalysis,differential,C++,Python,O(2^(n/2)),O(pairs),block_ciphers,"pairs=2^16,rounds=4","pairs=2^20,rounds=8","pairs=2^24,rounds=12",differential_high_prob_found,"Biham & Shamir (1991)",high
CRYPT-014,TruncatedDifferentialAttack,cryptanalysis,differential,C++,,O(2^m),O(pairs),word_oriented_ciphers,"truncation_bits=8,pairs=2^12","truncation_bits=16,pairs=2^16","truncation_bits=32,pairs=2^20",truncated_diff_detected,"Knudsen (1995)",medium
CRYPT-015,ImpossibleDifferentialAttack,cryptanalysis,differential,C++,,O(2^k),O(pairs),block_ciphers,"rounds=4,pairs=2^12","rounds=6,pairs=2^16","rounds=8,pairs=2^20",impossible_diff_found,"Biham et al. (1999)",high
CRYPT-016,HigherOrderDifferentialAttack,cryptanalysis,differential,C++,,O(2^(n/d)),O(samples),algebraic_block_ciphers,"order=2,samples=2^12","order=3,samples=2^16","order=4,samples=2^20",higher_order_diff_detected,"Lai (1994)",medium
CRYPT-017,BoomerangAttack,cryptanalysis,differential,C++,,O(2^(n/2)),O(quartets),block_ciphers,"quartets=2^12,rounds=6","quartets=2^16,rounds=8","quartets=2^20,rounds=10",boomerang_characteristic_found,"Wagner (1999)",high
CRYPT-018,RectangleAttack,cryptanalysis,differential,C++,,O(2^(n/2)),O(quartets),block_ciphers,"quartets=2^12,amplification=2","quartets=2^16,amplification=4","quartets=2^20,amplification=8",rectangle_characteristic_found,"Biham et al. (2002)",medium
CRYPT-019,DifferentialLinearAttack,cryptanalysis,hybrid,C++,,O(2^(n/2)),O(samples),block_ciphers,"samples=2^16,rounds=6","samples=2^20,rounds=8","samples=2^24,rounds=10",combined_attack_successful,"Langford & Hellman (1994)",high
CRYPT-020,RelatedKeyDifferentialAttack,cryptanalysis,differential,C++,Rust,O(varies),O(pairs),weak_key_schedule,"key_relations=2,pairs=2^12","key_relations=4,pairs=2^16","key_relations=8,pairs=2^20",related_key_diff_found,"Biham (1994)",medium
CRYPT-021,ChosenPlaintextDifferentialAttack,cryptanalysis,differential,C++,,O(2^(n/2)),O(pairs),block_ciphers,"chosen_pairs=2^12,target_diff=0x01","chosen_pairs=2^16,optimal_diff","chosen_pairs=2^20,exhaustive_diffs",chosen_pairs_yield_diff,"Biham & Shamir (1991)",high
CRYPT-022,DifferentialFaultAnalysisAttack,cryptanalysis,differential,Rust,C++,O(f),O(faults),all_ciphers_impl,"faults=1,model=random_byte","faults=4,model=targeted_bit","faults=16,model=precise_location",fault_plus_diff_equals_key,"Boneh et al. (1997)",high
CRYPT-023,SlideAttack,cryptanalysis,structural,C++,,O(2^(n/2)),O(pairs),self_similar_ciphers,"pairs=2^12,period=1","pairs=2^16,period=2","pairs=2^20,variable_period",slid_pairs_found,"Biryukov & Wagner (1999)",medium
ALG-001,BasicAlgebraicAttack,algebraic,equations,C++,Python,O(2^(n/3)_to_2^n),O(equations),algebraic_block_ciphers,"equations=100,vars=50","equations=1000,vars=500","equations=10K,vars=5K",system_solvability,"Courtois & Pieprzyk (2002)",medium
ALG-002,GroebnerBasisAttack,algebraic,groebner,C++,Python,O(doubly_exponential),O(basis),algebraic_ciphers,"polys=10,degree=2,vars=10","polys=50,degree=3,vars=20","polys=100,degree=4,vars=30",groebner_basis_feasibility,"Buchberger (1965)",low
ALG-003,XLAlgorithmAttack,algebraic,xl,C++,,O(n^ω*D^3),O(equations),overdetermined_systems,"equations=20,degree=2","equations=100,degree=3","equations=500,degree=4",xl_solves_system,"Courtois et al. (2000)",medium
ALG-004,SATSolverAttack,algebraic,sat,C++,Python,O(exponential),O(variables),all_ciphers_cnf,"clauses=1K,vars=100,timeout=10s","clauses=10K,vars=1K,timeout=60s","clauses=100K,vars=10K,timeout=300s",sat_solution_found,"Massacci & Marraro (2000)",high
ALG-005,CubeAttack,algebraic,cube,C++,,O(2^d*n),O(2^d),stream_reduced_block,"cube_dim=4,max_degree=3","cube_dim=8,max_degree=5","cube_dim=16,max_degree=7",key_bits_via_cube_sums,"Dinur & Shamir (2009)",medium
ALG-006,AlgebraicFaultAnalysisAttack,algebraic,fault_algebra,C++,Rust,O(f*p),O(equations),all_ciphers_impl,"faults=1,equations_per_fault=10","faults=4,equations_per_fault=50","faults=16,equations_per_fault=100",faults_plus_algebra_equals_key,"Dusart et al. (2003)",medium
ALG-007,AIDAAttack,algebraic,aida,C++,,O(2^k),O(pairs),stream_with_iv,"iv_pairs=100,degree=2","iv_pairs=1000,degree=3","iv_pairs=10K,degree=4",key_bits_from_iv_relations,"Vielhaber (2007)",low
ALG-008,AnnihilatorAttack,algebraic,annihilator,C++,,O(2^(n-d)),O(annihilators),stream_filter_generators,"max_degree=3,vars=8","max_degree=5,vars=16","max_degree=7,vars=32",low_degree_annihilator_found,"Courtois (2003)",low
ALG-009,LinearizationAttack,algebraic,linearization,C++,Python,O(n^3),O(equations),low_degree_systems,"equations=50,lin_degree=2","equations=200,lin_degree=3","equations=1000,lin_degree=4",system_linearized_solved,"Kipnis & Shamir (1999)",medium
ALG-010,PolynomialAttack,algebraic,polynomial,C++,,O(varies),O(terms),algebraic_ciphers,"degree=2,terms=20","degree=3,terms=100","degree=4,terms=500",polynomial_system_solved,"General Algebraic",medium
SC-001,TimingAttack,side_channel,timing,Rust,Python,O(n*m),O(measurements),all_ciphers_impl,"measurements=1K,precision=1ms","measurements=10K,precision=0.1ms","measurements=100K,precision=0.01ms",timing_correlates_with_secret,"Kocher (1996)",high
SC-002,SimplePowerAnalysisAttack,side_channel,spa,Rust,Python,O(1),O(trace),rsa_ecc_symmetric_impl,"trace_len=1K,sampling=1MHz","trace_len=10K,sampling=10MHz","trace_len=100K,sampling=100MHz",operations_visible_in_trace,"Kocher et al. (1999)",medium
SC-003,DifferentialPowerAnalysisAttack,side_channel,dpa,Rust,Python,O(k*t),O(traces),all_ciphers_impl,"traces=1K,poi=10","traces=10K,poi=50","traces=100K,full_trace",key_hypothesis_highest_correlation,"Kocher et al. (1999)",high
SC-004,CacheTimingAttack,side_channel,cache,Rust,C++,O(n*m),O(measurements),table_based_aes_rsa,"measurements=10K,cache_line=64","measurements=100K,prime_probe","measurements=1M,flush_reload",cache_pattern_leaks_key,"Bernstein (2005)",high
SC-005,AcousticCryptanalysisAttack,side_channel,acoustic,Rust,Python,O(m),O(recording),rsa_physical_access,"duration=10s,freq_range=0-20kHz","duration=60s,targeted_frequencies","duration=300s,full_spectrum",acoustic_correlates_with_ops,"Genkin et al. (2014)",low
SC-006,ElectromagneticAttack,side_channel,em,Rust,Python,O(m),O(measurements),all_ciphers_physical,"measurements=1K,bandwidth=100MHz","measurements=10K,bandwidth=1GHz","measurements=100K,wideband",em_signal_leaks_key,"Gandolfi et al. (2001)",low
SC-007,ColdBootAttack,side_channel,coldboot,Rust,Python,O(1),O(1),all_ciphers_physical,"freeze=10s,temp=-20C","freeze=30s,temp=-40C","freeze=60s,temp=-80C",key_persists_in_ram,"Halderman et al. (2008)",low
SC-008,FaultInjectionAttack,side_channel,fault,Rust,C++,O(f),O(faults),all_ciphers_physical,"fault_model=random_byte,faults=1","fault_model=targeted_bit,faults=4","fault_model=precise_timing,faults=16",faults_lead_to_key_recovery,"Boneh et al. (1997)",high
SC-009,TemplateAttack,side_channel,template,Rust,Python,O(t_profile+t_attack),O(templates),all_ciphers_profiled,"profile=1K,attack=10","profile=10K,attack=100","profile=100K,attack=1K",templates_match_traces,"Chari et al. (2002)",medium
QC-001,ShorsAlgorithmAttack,quantum,shors,Rust,Python,O(log^3(n)),O(qubits),rsa_dh_ecc,"key_size=1024,sim_depth=100","key_size=2048,sim_depth=500","key_size=4096,full_simulation",rsa_factorization_simulated,"Shor (1994)",medium
QC-002,GroversAlgorithmAttack,quantum,grovers,Rust,Python,O(sqrt(N)),O(qubits),symmetric_hashes,"search_space=2^32,iter=2^16","search_space=2^64,iter=2^32","search_space=2^128,iter=2^64",search_reduced_to_sqrt_n,"Grover (1996)",medium
QC-003,SimonsAlgorithmAttack,quantum,simons,Rust,Python,O(n),O(qubits),structured_block_ciphers,"input_size=16,queries=20","input_size=32,queries=40","input_size=64,queries=80",period_detected,"Simon (1997)",low
QC-004,QuantumFourierTransformAttack,quantum,qft,Rust,,O(log^2(n)),O(qubits),period_finding,"qubits=8,precision=8","qubits=16,precision=16","qubits=32,precision=32",period_via_qft,"QFT Literature",low
QC-005,QuantumAnnealingAttack,quantum,annealing,Rust,Python,O(heuristic),O(qubits),optimization_problems,"qubits=100,anneal_time=1ms","qubits=500,anneal_time=10ms","qubits=2000,anneal_time=100ms",optimization_converges,"D-Wave",low
QC-006,PostQuantumVulnerabilityAttack,quantum,pqc_assessment,Python,Rust,O(varies),O(1),all_classical_ciphers,"threat=NISQC,timeline=2030","threat=FTQC,timeline=2040","threat=optimistic,timeline=2025",vulnerability_score_assigned,"NIST PQC",medium
QC-007,HHLAlgorithmAttack,quantum,hhl,Rust,Python,O(log(N)),O(qubits),linear_systems,"system_size=16,cond_num=10","system_size=64,cond_num=100","system_size=256,cond_num=1000",linear_system_solved_exponentially_faster,"HHL (2009)",low
LAT-001,LLLAlgorithmAttack,lattice,lll,C++,Python,O(polynomial),O(dimension),rsa_small_exp_knapsack,"dimension=50,delta=0.99","dimension=100,delta=0.999","dimension=200,optimized_delta",lattice_basis_reduced,"Lenstra et al. (1982)",high
LAT-002,BKZAlgorithmAttack,lattice,bkz,C++,Python,O(exponential),O(dimension),lattice_pqc_knapsack,"dimension=50,block_size=10","dimension=100,block_size=20","dimension=200,block_size=30",better_reduction_than_lll,"Schnorr & Euchner (1994)",high
LAT-003,ShortestVectorProblemAttack,lattice,svp,C++,,O(exponential),O(dimension),lattice_pqc_lwe,"dimension=50,approx_factor=1.5","dimension=100,approx_factor=1.2","dimension=200,exact_svp",short_vector_found,"SVP Algorithms",medium
LAT-004,ClosestVectorProblemAttack,lattice,cvp,C++,,O(exponential),O(dimension),lattice_lwe,"dimension=50,distance_bound=10","dimension=100,distance_bound=5","dimension=200,optimal_solution",close_vector_found,"CVP Algorithms",medium
LAT-005,LearningWithErrorsAttack,lattice,lwe,C++,Python,O(exponential),O(dimension),lwe_pqc,"dimension=50,modulus=1024,error=0.1","dimension=100,modulus=4096,error=0.05","dimension=200,modulus=16384,error=0.01",lwe_instance_solved,"Regev (2005)",high
LAT-006,NTRUAttack,lattice,ntru,C++,Python,O(subexponential),O(dimension),ntru_encryption,"N=167,q=128,lattice_attack","N=251,q=256,optimized","N=347,q=512,hybrid",ntru_key_recovered,"NTRU Literature",medium
LAT-007,CoppersmithAttack,lattice,coppersmith,C++,Python,O(polynomial),O(dimension),rsa_partial_key,"degree=2,known_bits=25%,mod=1024","degree=3,known_bits=30%,mod=2048","degree=4,known_bits=35%,mod=4096",small_roots_found,"Coppersmith (1996)",high
LAT-008,LatticeReductionRSAAttack,lattice,rsa_lattice,C++,Python,O(polynomial),O(dimension),rsa_variants,"key_size=1024,small_d=N^0.25","key_size=2048,small_d=N^0.3","key_size=4096,extended_Wiener",rsa_key_via_lattice,"Wiener (1990)",high
HASH-001,BirthdayParadoxAttack,hash_collision,birthday,C++,Rust,O(2^(n/2)),O(samples),all_hashes,"hash_size=128,samples=2^16","hash_size=160,samples=2^20","hash_size=256,samples=2^24",collision_found_or_feasible,"Yuval (1979)",high
HASH-002,LengthExtensionAttack,hash_collision,length_extension,Rust,Python,O(1),O(1),merkle_damgard_hashes,"hash_func=SHA256,msg_len=64","hash_func=SHA512,msg_len=128","multiple_extensions,chained",extended_hash_without_key,"Length Extension",high
HASH-003,CollisionSearchAttack,hash_collision,collision,C++,Rust,O(2^(n/2)),O(samples),all_hashes,"algo=pollard_rho,iter=2^16","algo=parallel_search,iter=2^20","algo=distributed,iter=2^24",collision_found,"Pollard's rho",high
HASH-004,PreimageAttack,hash_collision,preimage,C++,,O(2^n),O(1),all_hashes,"hash_size=128,attempts=2^16","hash_size=160,attempts=2^20","hash_size=256,attempts=2^24",preimage_found_or_feasible,"Preimage Resistance",medium
HASH-005,SecondPreimageAttack,hash_collision,second_preimage,C++,Rust,O(2^n),O(1),all_hashes,"hash_size=128,attempts=2^16","hash_size=160,attempts=2^20,long_msg","hash_size=256,attempts=2^24,optimized",second_preimage_found,"Second Preimage",medium
HASH-006,MulticollisionAttack,hash_collision,multicollision,C++,Rust,O(k*2^(n/2)),O(collisions),iterative_hashes,"target_collisions=4,hash_size=128","target_collisions=8,hash_size=160","target_collisions=16,hash_size=256",multiple_collisions_found,"Joux (2004)",medium
IMPL-001,PaddingOracleAttack,implementation_flaw,padding_oracle,Rust,Python,O(n*256),O(1),cbc_pkcs7,"block_size=16,oracle_queries=256","block_size=16,optimized_queries=128","multi_block,full_plaintext",plaintext_recovered_bytewise,"Vaudenay (2002)",high
IMPL-002,BleichenbacherAttack,implementation_flaw,rsa_padding_oracle,Rust,Python,O(1000),O(1),rsa_pkcs1v15,"rsa_size=1024,oracle_queries=1K","rsa_size=2048,optimized","rsa_size=4096,parallel",rsa_plaintext_recovered,"Bleichenbacher (1998)",high
IMPL-003,BEASTAttack,implementation_flaw,tls_cbc_iv,Rust,Python,O(2^(n/2)),O(blocks),tls10_cbc,"tls_version=1.0,blocks=100","tls_version=1.0,optimized,blocks=1K","full_session_recovery",cbc_iv_predictability_exploited,"Duong & Rizzo (2011)",medium
IMPL-004,CRIMEBREACHAttack,implementation_flaw,compression_oracle,Rust,Python,O(n*s),O(1),tls_with_compression,"compression=gzip,requests=100","compression=deflate,requests=1K,optimized","multiple_secrets,full_session",secret_via_compression_ratio,"CRIME/BREACH (2012-13)",medium
IMPL-005,WeakRandomNumberAttack,implementation_flaw,weak_rng,Python,Rust,O(varies),O(observations),weak_key_generation,"rng=LCG,seed_bits=32,obs=100","rng=MT19937,seed_bits=64,obs=1K","rng=custom_weak,full_state_recovery",rng_state_predicted_or_key_recovered,"RNG Attacks (Various)",high

